Obs,cohort,label_cohort,cohort_years,dod_occ_code_level,dod_occ_code,label_dod_occ_code,ind_level,industry,label_industry,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn
300,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,72,Accommodation and Food Services,2133,1823,1281,15480,17930,20350,20550,24460,27690,27970,36440,41830,1,1,1,1,1,1
301,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,81,Other Services (except Public Administration),1223,1156,845,20490,25210,28720,30100,37940,42850,42040,51060,58230,1,1,1,1,1,1
302,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,92,Public Administration,4036,6013,5171,27570,36880,41280,35220,47330,55130,43810,62180,74930,1,1,1,1,1,1
303,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,99,Federal Government,2355,5261,5345,32230,42060,47250,40560,53030,60890,52910,67840,80530,1,1,1,1,1,1
304,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,11,"Agriculture, Forestry, Fishing and Hunting",.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
305,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,21,"Mining, Quarrying, and Oil and Gas Extraction",120,142,120,36580,46060,55950,58750,68930,89190,77750,92670,113800,1,1,1,1,1,1
306,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,22,Utilities,.,87,84,.,47090,61020,.,67130,81310,.,86130,103500,5,1,1,5,1,1
307,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,23,Construction,897,726,480,23540,30270,36320,33810,43270,50860,48010,58890,73340,1,1,1,1,1,1
308,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,31-33,Manufacturing,1194,1342,1016,28040,35410,40950,40180,50100,56390,58240,70080,80030,1,1,1,1,1,1
309,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,42,Wholesale Trade,580,600,499,29470,35990,40900,42900,49210,55500,64350,71280,77340,1,1,1,1,1,1
310,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,44-45,Retail Trade,979,815,509,17060,22200,25790,23440,30650,37310,32990,43050,55370,1,1,1,1,1,1
311,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,48-49,Transportation and Warehousing,415,412,317,22070,27610,30160,32420,41650,49580,48490,64050,66520,1,1,1,1,1,1
312,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,51,Information,1444,1338,919,34700,44690,54790,53680,64390,73690,73910,87900,95670,1,1,1,1,1,1
313,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,52,Finance and Insurance,181,275,219,21520,30920,36220,29690,42640,50970,42180,60390,74010,1,1,1,1,1,1
314,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,53,Real Estate and Rental and Leasing,146,142,83,21360,25350,32440,30960,36240,43680,42940,52840,61870,1,1,1,1,1,1
315,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,54,"Professional, Scientific, and Technical Services",2015,2244,1543,45580,54890,58210,65360,77750,83310,88750,107400,115700,1,1,1,1,1,1
316,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,55,Management of Companies and Enterprises,161,152,158,26860,37300,47710,43810,53980,64700,79670,75120,85410,1,1,1,1,1,1
317,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,56,"Administrative and Support and Waste
Management and Remediation Services",1306,1020,665,20560,25150,28490,29960,38810,44410,46390,59390,64630,1,1,1,1,1,1
318,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,61,Educational Services,256,374,362,26440,29460,33690,39600,43870,47720,56370,56400,62250,1,1,1,1,1,1
319,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,62,Health Care and Social Assistance,288,522,531,20900,25960,31990,29390,36020,46720,38290,53120,65980,1,1,1,1,1,1
320,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,71,"Arts, Entertainment, and Recreation",90,84,72,17140,24580,26440,24730,34280,37480,33420,49400,52620,1,1,1,1,1,1
321,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,72,Accommodation and Food Services,332,312,222,15640,17850,20210,20810,24410,27230,29320,35840,40970,1,1,1,1,1,1
322,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,81,Other Services (except Public Administration),235,248,164,21620,32360,34860,35020,46060,47770,50440,65760,69870,1,1,1,1,1,1
323,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,92,Public Administration,417,658,564,25140,35990,39240,35290,45000,52080,43720,59170,68160,1,1,1,1,1,1
324,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,N,99,Federal Government,593,1413,1394,35070,46260,52450,47540,62400,70570,66200,79860,90510,1,1,1,1,1,1
325,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,11,"Agriculture, Forestry, Fishing and Hunting",.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
326,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,21,"Mining, Quarrying, and Oil and Gas Extraction",184,223,189,34700,47600,55700,47800,65200,78020,65920,86140,109200,1,1,1,1,1,1
327,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,22,Utilities,76,155,149,30900,42650,55870,43240,61270,72400,58560,80460,98560,1,1,1,1,1,1
328,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,23,Construction,1314,1172,802,21840,29690,33320,31340,42760,49320,44370,60710,73230,1,1,1,1,1,1
329,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,31-33,Manufacturing,1754,1863,1549,25110,33340,39290,35400,47120,56550,52390,67440,80020,1,1,1,1,1,1
330,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,42,Wholesale Trade,811,827,706,25440,32350,37480,35880,46170,52620,50750,67440,83660,1,1,1,1,1,1
331,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,44-45,Retail Trade,2163,1577,1037,17460,21150,24130,24150,30990,35670,34430,43990,52410,1,1,1,1,1,1
332,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,48-49,Transportation and Warehousing,898,810,614,21710,29680,31750,32090,42170,47430,48330,61150,69980,1,1,1,1,1,1
333,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,51,Information,1162,1136,798,34400,41030,47610,53850,62590,68760,76000,85220,92750,1,1,1,1,1,1
334,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,52,Finance and Insurance,466,546,480,24000,32270,41140,32900,45280,54410,44840,61140,77750,1,1,1,1,1,1
335,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,53,Real Estate and Rental and Leasing,245,227,165,19510,25860,30620,29490,38680,48870,38930,54550,67200,1,1,1,1,1,1
336,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,54,"Professional, Scientific, and Technical Services",4619,4686,2881,52180,62310,64090,73590,87920,91310,94340,115800,122300,1,1,1,1,1,1
337,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,55,Management of Companies and Enterprises,242,277,226,28570,36960,41400,44770,55270,60330,77310,94210,86330,1,1,1,1,1,1
338,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,56,"Administrative and Support and Waste
Management and Remediation Services",2629,1838,1211,21080,25570,27270,31450,39500,43140,46670,61490,67390,1,1,1,1,1,1
339,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,61,Educational Services,556,868,838,24520,31250,37340,38270,45060,49660,55590,61500,63610,1,1,1,1,1,1
340,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,62,Health Care and Social Assistance,526,909,874,20140,25200,32960,27770,37110,47010,37580,51150,65460,1,1,1,1,1,1
341,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,71,"Arts, Entertainment, and Recreation",219,219,144,17880,23520,25870,24140,34980,40180,36320,49480,67050,1,1,1,1,1,1
342,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,72,Accommodation and Food Services,757,624,389,15770,18320,20510,20600,24620,28990,28430,34910,41560,1,1,1,1,1,1
343,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,81,Other Services (except Public Administration),368,429,289,21900,27210,29320,32560,40480,44800,46680,58970,67400,1,1,1,1,1,1
344,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,92,Public Administration,1179,1809,1477,27180,36450,42060,35360,47390,55660,44220,61840,74920,1,1,1,1,1,1
345,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",N,99,Federal Government,1369,3158,3201,36390,49990,57950,51320,68680,79210,68290,89040,100200,1,1,1,1,1,1
346,2000,2000-2007,8,2,13X,Health Care Specialists,N,11,"Agriculture, Forestry, Fishing and Hunting",.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
347,2000,2000-2007,8,2,13X,Health Care Specialists,N,21,"Mining, Quarrying, and Oil and Gas Extraction",.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
348,2000,2000-2007,8,2,13X,Health Care Specialists,N,22,Utilities,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
349,2000,2000-2007,8,2,13X,Health Care Specialists,N,23,Construction,132,112,58,22740,30740,41140,32220,43620,56120,49020,62160,80690,1,1,1,1,1,1
350,2000,2000-2007,8,2,13X,Health Care Specialists,N,31-33,Manufacturing,323,347,231,30350,37440,45150,42290,52880,63420,58820,70430,79860,1,1,1,1,1,1
351,2000,2000-2007,8,2,13X,Health Care Specialists,N,42,Wholesale Trade,147,125,90,26380,36710,38380,38710,57900,55740,55900,75920,86860,1,1,1,1,1,1
352,2000,2000-2007,8,2,13X,Health Care Specialists,N,44-45,Retail Trade,295,234,121,18430,22920,26910,26100,31950,40370,38230,48370,56580,1,1,1,1,1,1
353,2000,2000-2007,8,2,13X,Health Care Specialists,N,48-49,Transportation and Warehousing,199,198,146,30140,34170,48790,46790,56190,65480,60680,73480,88060,1,1,1,1,1,1
354,2000,2000-2007,8,2,13X,Health Care Specialists,N,51,Information,62,55,.,25590,37120,.,41460,56990,.,57120,73530,.,1,1,5,1,1,5
355,2000,2000-2007,8,2,13X,Health Care Specialists,N,52,Finance and Insurance,.,80,.,.,31460,.,.,46750,.,.,63290,.,5,1,5,5,1,5
356,2000,2000-2007,8,2,13X,Health Care Specialists,N,53,Real Estate and Rental and Leasing,51,.,.,19230,.,.,33710,.,.,44170,.,.,1,5,5,1,5,5
357,2000,2000-2007,8,2,13X,Health Care Specialists,N,54,"Professional, Scientific, and Technical Services",325,297,176,31130,38120,41820,49060,58450,69320,64320,81470,91900,1,1,1,1,1,1
358,2000,2000-2007,8,2,13X,Health Care Specialists,N,55,Management of Companies and Enterprises,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
359,2000,2000-2007,8,2,13X,Health Care Specialists,N,56,"Administrative and Support and Waste
Management and Remediation Services",313,222,116,24320,26550,30260,35090,44830,44590,52110,67780,71620,1,1,1,1,1,1
360,2000,2000-2007,8,2,13X,Health Care Specialists,N,61,Educational Services,98,177,108,31180,32070,38640,40180,46630,51800,48960,59980,67050,1,1,1,1,1,1
361,2000,2000-2007,8,2,13X,Health Care Specialists,N,62,Health Care and Social Assistance,678,702,215,25610,30780,37800,36750,44190,55300,53970,63610,79040,1,1,1,1,1,1
362,2000,2000-2007,8,2,13X,Health Care Specialists,N,71,"Arts, Entertainment, and Recreation",.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
363,2000,2000-2007,8,2,13X,Health Care Specialists,N,72,Accommodation and Food Services,91,87,.,16030,19270,.,20690,27940,.,31290,43050,.,1,1,5,1,1,5
364,2000,2000-2007,8,2,13X,Health Care Specialists,N,81,Other Services (except Public Administration),77,56,.,29150,33140,.,41000,49920,.,56210,69050,.,1,1,5,1,1,5
365,2000,2000-2007,8,2,13X,Health Care Specialists,N,92,Public Administration,168,239,121,27440,36530,37030,37100,45210,49050,46750,57420,68020,1,1,1,1,1,1
366,2000,2000-2007,8,2,13X,Health Care Specialists,N,99,Federal Government,663,1030,450,34440,42800,49720,43150,53780,63170,55820,68000,82450,1,1,1,1,1,1
367,2000,2000-2007,8,2,14X,Other Allied Professions,N,11,"Agriculture, Forestry, Fishing and Hunting",.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
368,2000,2000-2007,8,2,14X,Other Allied Professions,N,21,"Mining, Quarrying, and Oil and Gas Extraction",.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
369,2000,2000-2007,8,2,14X,Other Allied Professions,N,22,Utilities,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
370,2000,2000-2007,8,2,14X,Other Allied Professions,N,23,Construction,179,182,120,22750,30620,37780,33290,42980,54490,46990,63530,78560,1,1,1,1,1,1
371,2000,2000-2007,8,2,14X,Other Allied Professions,N,31-33,Manufacturing,268,344,277,23130,32440,37120,33630,43320,51930,48370,63640,73880,1,1,1,1,1,1
372,2000,2000-2007,8,2,14X,Other Allied Professions,N,42,Wholesale Trade,136,143,117,26440,34190,34690,36120,42690,53300,56120,63500,76100,1,1,1,1,1,1
373,2000,2000-2007,8,2,14X,Other Allied Professions,N,44-45,Retail Trade,419,331,214,17990,21000,24070,24330,28480,33320,34270,43050,52870,1,1,1,1,1,1
374,2000,2000-2007,8,2,14X,Other Allied Professions,N,48-49,Transportation and Warehousing,131,132,138,20890,25870,26650,33380,41000,42730,46830,56710,59320,1,1,1,1,1,1
375,2000,2000-2007,8,2,14X,Other Allied Professions,N,51,Information,129,125,94,28760,32880,43370,43290,56270,62480,67200,77530,86860,1,1,1,1,1,1
376,2000,2000-2007,8,2,14X,Other Allied Professions,N,52,Finance and Insurance,79,104,99,21460,28110,35470,27690,38120,50370,40320,52620,74650,1,1,1,1,1,1
377,2000,2000-2007,8,2,14X,Other Allied Professions,N,53,Real Estate and Rental and Leasing,53,50,.,20720,22230,.,27280,34280,.,40760,44880,.,1,1,5,1,1,5
378,2000,2000-2007,8,2,14X,Other Allied Professions,N,54,"Professional, Scientific, and Technical Services",678,688,471,37910,47890,50610,53160,69480,74500,78060,95880,105500,1,1,1,1,1,1
379,2000,2000-2007,8,2,14X,Other Allied Professions,N,55,Management of Companies and Enterprises,55,50,52,29500,27280,48120,39730,48570,63290,59390,60930,89010,1,1,1,1,1,1
380,2000,2000-2007,8,2,14X,Other Allied Professions,N,56,"Administrative and Support and Waste
Management and Remediation Services",541,426,303,22300,25820,26590,35420,41900,43320,53000,65530,63440,1,1,1,1,1,1
381,2000,2000-2007,8,2,14X,Other Allied Professions,N,61,Educational Services,230,267,260,25340,32510,39350,41680,46650,53070,55360,61630,67240,1,1,1,1,1,1
382,2000,2000-2007,8,2,14X,Other Allied Professions,N,62,Health Care and Social Assistance,151,261,282,20580,24250,30810,27130,32920,43560,38250,47280,61790,1,1,1,1,1,1
383,2000,2000-2007,8,2,14X,Other Allied Professions,N,71,"Arts, Entertainment, and Recreation",.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
384,2000,2000-2007,8,2,14X,Other Allied Professions,N,72,Accommodation and Food Services,113,126,99,14100,18670,18450,18350,24980,25730,25590,33000,42670,1,1,1,1,1,1
385,2000,2000-2007,8,2,14X,Other Allied Professions,N,81,Other Services (except Public Administration),68,66,55,22610,20870,28390,38380,33140,41140,50370,44880,55870,1,1,1,1,1,1
386,2000,2000-2007,8,2,14X,Other Allied Professions,N,92,Public Administration,231,339,322,28070,36790,41480,36410,46440,54370,46320,60230,70860,1,1,1,1,1,1
387,2000,2000-2007,8,2,14X,Other Allied Professions,N,99,Federal Government,466,843,875,34300,45580,52390,42270,58880,72040,58070,76280,91260,1,1,1,1,1,1
388,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,11,"Agriculture, Forestry, Fishing and Hunting",.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
389,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,21,"Mining, Quarrying, and Oil and Gas Extraction",132,165,143,33760,48740,59600,50370,63620,82240,65920,86400,114400,1,1,1,1,1,1
390,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,22,Utilities,91,157,128,28700,37390,52620,36070,53450,70750,47680,74300,90620,1,1,1,1,1,1
391,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,23,Construction,812,770,476,22580,28960,34960,32360,42420,47850,47160,62350,72090,1,1,1,1,1,1
392,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,31-33,Manufacturing,1868,1968,1431,25730,32190,35070,35980,45700,52060,49600,63910,74230,1,1,1,1,1,1
393,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,42,Wholesale Trade,986,1033,770,24390,29580,33670,33820,41010,47550,48160,58140,68670,1,1,1,1,1,1
394,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,44-45,Retail Trade,2503,1819,1183,17980,21750,23440,25680,30900,34330,36520,45160,51730,1,1,1,1,1,1
395,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,48-49,Transportation and Warehousing,1459,1217,922,23010,28930,32650,32700,42310,46890,45480,59840,64370,1,1,1,1,1,1
396,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,51,Information,859,833,500,27470,34790,41340,41940,51430,58940,63160,79760,84480,1,1,1,1,1,1
397,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,52,Finance and Insurance,933,936,737,23430,29930,35100,32190,40830,49360,43610,58070,70390,1,1,1,1,1,1
398,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,53,Real Estate and Rental and Leasing,392,327,220,21680,29720,30510,34000,40750,40350,47240,54460,55950,1,1,1,1,1,1
399,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,54,"Professional, Scientific, and Technical Services",4100,3897,2376,39340,48970,49500,56900,69790,73790,81400,100400,107700,1,1,1,1,1,1
400,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,55,Management of Companies and Enterprises,299,356,307,25200,33680,38430,38570,53330,63030,62900,82650,87760,1,1,1,1,1,1
401,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,56,"Administrative and Support and Waste
Management and Remediation Services",3578,2457,1511,20900,24110,24890,30320,36150,38480,44500,54440,60890,1,1,1,1,1,1
402,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,61,Educational Services,1340,1639,1427,28470,32070,35130,44350,48410,50000,57760,65380,67890,1,1,1,1,1,1
403,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,62,Health Care and Social Assistance,1288,1863,1704,20380,24090,28480,28130,33950,39890,37860,46420,57020,1,1,1,1,1,1
404,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,71,"Arts, Entertainment, and Recreation",197,185,144,18890,22390,22790,26860,31630,39380,37710,47260,64610,1,1,1,1,1,1
405,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,72,Accommodation and Food Services,693,588,433,15760,18140,19250,21710,24760,27220,32220,37870,41140,1,1,1,1,1,1
406,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,81,Other Services (except Public Administration),567,489,325,23280,25450,27650,33440,39630,43090,46370,54470,61140,1,1,1,1,1,1
407,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,92,Public Administration,1584,1996,1643,26180,32640,36010,33690,41520,45570,41470,54300,61900,1,1,1,1,1,1
408,2000,2000-2007,8,2,15X,"Functional Support and
Administration",N,99,Federal Government,4487,8514,7587,32730,43200,48350,41720,55380,65010,56360,74140,85440,1,1,1,1,1,1
409,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,11,"Agriculture, Forestry, Fishing and Hunting",123,91,86,24270,30620,29930,33020,39510,40180,45290,48210,53550,1,1,1,1,1,1
410,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,21,"Mining, Quarrying, and Oil and Gas Extraction",424,503,423,36290,50300,59820,50260,71160,82410,65410,95340,108800,1,1,1,1,1,1
411,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,22,Utilities,119,217,240,31370,43300,56950,40020,61790,78210,60840,83780,106000,1,1,1,1,1,1
412,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,23,Construction,1867,1783,1238,23360,29740,33380,32820,41010,48630,45050,57580,68170,1,1,1,1,1,1
413,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,31-33,Manufacturing,3584,3623,2857,26270,33370,38970,37500,47960,52530,53000,66520,73490,1,1,1,1,1,1
414,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,42,Wholesale Trade,2110,1908,1472,27430,34240,38750,37450,46560,53370,49560,62270,72340,1,1,1,1,1,1
415,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,44-45,Retail Trade,3474,2661,1759,18670,23170,24990,25860,32560,37130,35650,45260,52740,1,1,1,1,1,1
416,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,48-49,Transportation and Warehousing,3248,2801,1837,28980,35810,37400,41540,50860,52000,57110,69740,69910,1,1,1,1,1,1
417,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,51,Information,582,675,540,27880,36710,40820,39260,50900,58250,57310,76900,84820,1,1,1,1,1,1
418,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,52,Finance and Insurance,332,438,347,22070,28300,35320,31060,40660,47280,42090,53200,67550,1,1,1,1,1,1
419,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,53,Real Estate and Rental and Leasing,636,505,414,25130,31110,35360,35870,43210,49390,47850,55640,63900,1,1,1,1,1,1
420,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,54,"Professional, Scientific, and Technical Services",2150,2635,1774,36910,46310,47100,53630,65530,68160,69170,87270,95050,1,1,1,1,1,1
421,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,55,Management of Companies and Enterprises,263,303,281,24260,30700,38890,35870,47990,56140,49390,74630,79350,1,1,1,1,1,1
422,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,56,"Administrative and Support and Waste
Management and Remediation Services",3336,2630,1708,21220,25950,26470,31050,39430,41070,46200,58490,63950,1,1,1,1,1,1
423,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,61,Educational Services,656,874,890,25440,31070,33440,39410,44590,47580,55350,60180,63770,1,1,1,1,1,1
424,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,62,Health Care and Social Assistance,2229,2612,2475,24070,29260,34980,35810,43250,52800,53410,62420,72320,1,1,1,1,1,1
425,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,71,"Arts, Entertainment, and Recreation",213,251,183,19230,22970,22980,25550,31990,35620,36050,45440,49050,1,1,1,1,1,1
426,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,72,Accommodation and Food Services,698,632,489,15580,17510,19110,20850,23200,25270,29160,35520,39400,1,1,1,1,1,1
427,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,81,Other Services (except Public Administration),1492,1247,809,24600,30590,32080,34660,43880,45530,47510,58270,63400,1,1,1,1,1,1
428,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,92,Public Administration,1291,1967,1762,26250,35340,38710,34660,44520,50670,42840,57700,69180,1,1,1,1,1,1
429,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",N,99,Federal Government,2018,4310,4287,34130,44510,48520,43810,55410,60840,54920,68420,77670,1,1,1,1,1,1
430,2000,2000-2007,8,2,17X,Craftsworkers,N,11,"Agriculture, Forestry, Fishing and Hunting",.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
431,2000,2000-2007,8,2,17X,Craftsworkers,N,21,"Mining, Quarrying, and Oil and Gas Extraction",105,121,103,37220,38940,62940,51370,66030,83310,66730,91050,113200,1,1,1,1,1,1
432,2000,2000-2007,8,2,17X,Craftsworkers,N,22,Utilities,66,73,73,32300,40660,50930,42730,62940,69400,51650,81180,95690,1,1,1,1,1,1
433,2000,2000-2007,8,2,17X,Craftsworkers,N,23,Construction,864,699,471,23970,31270,37580,32860,43960,53120,44700,61520,70580,1,1,1,1,1,1
434,2000,2000-2007,8,2,17X,Craftsworkers,N,31-33,Manufacturing,795,739,622,24580,30510,33690,33800,43860,46990,44720,57740,64560,1,1,1,1,1,1
435,2000,2000-2007,8,2,17X,Craftsworkers,N,42,Wholesale Trade,316,323,248,22690,31280,36320,33140,42520,53930,47350,55930,74600,1,1,1,1,1,1
436,2000,2000-2007,8,2,17X,Craftsworkers,N,44-45,Retail Trade,724,579,395,16680,21000,22660,22610,30020,32870,32150,42060,47720,1,1,1,1,1,1
437,2000,2000-2007,8,2,17X,Craftsworkers,N,48-49,Transportation and Warehousing,344,356,282,21420,29560,29880,30490,42550,44590,43010,56450,63430,1,1,1,1,1,1
438,2000,2000-2007,8,2,17X,Craftsworkers,N,51,Information,125,165,137,26190,33590,40320,35720,44230,59320,49880,61970,80660,1,1,1,1,1,1
439,2000,2000-2007,8,2,17X,Craftsworkers,N,52,Finance and Insurance,147,151,123,20260,30030,37840,30200,43370,51770,44170,56370,71840,1,1,1,1,1,1
440,2000,2000-2007,8,2,17X,Craftsworkers,N,53,Real Estate and Rental and Leasing,140,129,89,21730,32880,29880,32580,41500,42230,45180,66910,60220,1,1,1,1,1,1
441,2000,2000-2007,8,2,17X,Craftsworkers,N,54,"Professional, Scientific, and Technical Services",472,501,393,34120,37820,41310,49330,57720,63860,64170,84770,92660,1,1,1,1,1,1
442,2000,2000-2007,8,2,17X,Craftsworkers,N,55,Management of Companies and Enterprises,58,88,82,23450,31120,39880,35430,45370,52620,45550,63290,72230,1,1,1,1,1,1
443,2000,2000-2007,8,2,17X,Craftsworkers,N,56,"Administrative and Support and Waste
Management and Remediation Services",1150,778,488,20910,24290,24960,31000,37340,39610,45020,54560,57090,1,1,1,1,1,1
444,2000,2000-2007,8,2,17X,Craftsworkers,N,61,Educational Services,238,360,326,24410,29780,34050,35200,44630,48120,50070,57470,61120,1,1,1,1,1,1
445,2000,2000-2007,8,2,17X,Craftsworkers,N,62,Health Care and Social Assistance,1644,1995,1714,23060,30460,36670,32400,44240,52990,45850,61690,71440,1,1,1,1,1,1
446,2000,2000-2007,8,2,17X,Craftsworkers,N,71,"Arts, Entertainment, and Recreation",92,80,63,20110,22100,26270,25510,35110,37030,32130,48120,53870,1,1,1,1,1,1
447,2000,2000-2007,8,2,17X,Craftsworkers,N,72,Accommodation and Food Services,275,239,154,15630,17320,18910,20400,24240,25640,29210,37060,41610,1,1,1,1,1,1
448,2000,2000-2007,8,2,17X,Craftsworkers,N,81,Other Services (except Public Administration),154,138,95,21750,23530,25830,29010,36270,40660,41300,53870,57900,1,1,1,1,1,1
449,2000,2000-2007,8,2,17X,Craftsworkers,N,92,Public Administration,518,709,611,27450,35570,39740,35000,45880,51510,43720,61280,73140,1,1,1,1,1,1
450,2000,2000-2007,8,2,17X,Craftsworkers,N,99,Federal Government,1029,1888,1895,31590,40650,44470,39190,50480,56320,50000,63970,74130,1,1,1,1,1,1
